회사명,거래소코드,회계년도,* (정상)영업손익(보고서기재)(IFRS연결),매출액(수익)(*)(IFRS연결),당기순이익(손실)(IFRS연결)
(주)SNT홀딩스,036530,2014/12,65504975,1552374806,66985248
(주)SNT홀딩스,036530,2015/12,161533664,1612746929,116419931
(주)SNT홀딩스,036530,2016/12,72283066,1537700275,10146568
(주)SNT홀딩스,036530,2017/12,60637139,1508152132,25863066
(주)SNT홀딩스,036530,2018/12,72650119,1401307482,73732317
(주)SNT홀딩스,036530,2019/12,126277061,1512114565,124509305
(주)SNT홀딩스,036530,2020/12,127086173,1435754699,77889420
(주)STX,011810,2010/12,89391000,4045884000,229769000
(주)STX,011810,2011/12,234608000,5967701000,222363000
(주)STX,011810,2012/12,-410811000,6159850000,-490928000
(주)STX,011810,2013/12,-961776000,2449401000,-1595630000
(주)STX,011810,2014/12,35691000,1634606000,380584000
(주)STX,011810,2015/12,-34170000,1630827000,-48982000
(주)STX,011810,2016/12,-34169000,1720153000,-457446000
(주)STX,011810,2017/12,44053000,1803878000,334386000
(주)STX,011810,2018/12,-14778000,1502985000,9107000
(주)STX,011810,2019/12,1748000,1471164000,-33218000
(주)STX,011810,2020/12,-493000,975567000,-20448000
(주)TCC스틸,002710,2010/12,19638898,460900040,13847168
(주)TCC스틸,002710,2011/12,11421367,514424043,4557868
(주)TCC스틸,002710,2012/12,5933944,501337475,124581
(주)TCC스틸,002710,2013/12,-7745721,500832754,-19955830
(주)TCC스틸,002710,2014/12,344471,518995240,-15813610
(주)TCC스틸,002710,2015/12,15855157,495795871,-110218983
(주)TCC스틸,002710,2016/12,15351135,444453635,16948843
(주)TCC스틸,002710,2017/12,8106455,391370092,1503708
(주)TCC스틸,002710,2018/12,17080602,413176279,9755131
(주)TCC스틸,002710,2019/12,12856170,437173902,5037267
(주)TCC스틸,002710,2020/12,970928,431797912,-1687460
(주)가비아,079940,2010/12,6692482,40623302,5572559
(주)가비아,079940,2011/12,8180883,52838864,7014899
(주)가비아,079940,2012/12,7619962,69058144,9419144
(주)가비아,079940,2013/12,7033504,70675565,9505713
(주)가비아,079940,2014/12,8382688,80432047,6752737
(주)가비아,079940,2015/12,11349094,91648622,8530281
(주)가비아,079940,2016/12,12549259,102178978,10177685
(주)가비아,079940,2017/12,12712157,116217941,9669613
(주)가비아,079940,2018/12,18188449,128728438,15340647
(주)가비아,079940,2019/12,23736596,148306878,21102390
(주)가비아,079940,2020/12,28545232,169044955,23751739
(주)강스템바이오텍,217730,2015/12,,,
(주)강스템바이오텍,217730,2016/12,,,
(주)강스템바이오텍,217730,2017/12,-11737865,9132939,-11531949
(주)강스템바이오텍,217730,2018/12,-11693969,9165454,-14294032
(주)강스템바이오텍,217730,2019/12,-23153708,6004584,-26394472
(주)강스템바이오텍,217730,2020/12,-18725365,9137898,-19745799
(주)강원랜드,035250,2010/12,555663764,1313788411,426209186
(주)강원랜드,035250,2011/12,488541474,1265686425,381175313
(주)강원랜드,035250,2012/12,404867665,1296191223,306228988
(주)강원랜드,035250,2013/12,388041305,1361286598,297596347
(주)강원랜드,035250,2014/12,513172053,1496541441,359348568
(주)강원랜드,035250,2015/12,595400402,1633716839,441629101
(주)강원랜드,035250,2016/12,618616288,1696532511,454533659
(주)강원랜드,035250,2017/12,530897334,1604470055,437540507
(주)강원랜드,035250,2018/12,430699991,1438059299,297236881
(주)강원랜드,035250,2019/12,501153152,1520080449,334653892
(주)강원랜드,035250,2020/12,-431583874,478578866,-275879104
(주)강원에너지,114190,2010/11,,,
(주)강원에너지,114190,2011/11,,,
(주)강원에너지,114190,2012/12,,,
(주)강원에너지,114190,2013/12,,,
(주)강원에너지,114190,2014/12,,,
(주)강원에너지,114190,2015/12,447206,46188664,102482
(주)강원에너지,114190,2016/12,-1311190,42287473,-1125371
(주)강원에너지,114190,2017/12,-5588512,82034829,-6451819
(주)강원에너지,114190,2018/12,341329,85905365,1708887
(주)강원에너지,114190,2019/12,-17175963,42549622,-35647438
(주)강원에너지,114190,2020/12,-9226308,38345166,-12874763
(주)갤럭시아에스엠,011420,2010/12,612927,56624254,-4829
(주)갤럭시아에스엠,011420,2011/12,5164839,47331427,2909464
(주)갤럭시아에스엠,011420,2012/12,2074371,55049732,389023
(주)갤럭시아에스엠,011420,2013/12,747160,46437304,-1736750
(주)갤럭시아에스엠,011420,2014/12,-423280,43885894,-255270
(주)갤럭시아에스엠,011420,2015/12,2101041,62472754,1863773
(주)갤럭시아에스엠,011420,2016/12,-3713866,52626331,-1562620
(주)갤럭시아에스엠,011420,2017/12,-3545768,37281280,-5899738
(주)갤럭시아에스엠,011420,2018/12,-10337846,22060413,-16003255
(주)갤럭시아에스엠,011420,2019/12,-456437,28732679,-1375316
(주)갤럭시아에스엠,011420,2020/12,,,
(주)경농,002100,2010/12,13761999,143433922,8679619
(주)경농,002100,2011/12,7676752,121253605,509664
(주)경농,002100,2012/12,12731056,136970449,10310339
(주)경농,002100,2013/12,18783505,196358952,13950249
(주)경농,002100,2014/12,14653846,188483147,7099305
(주)경농,002100,2015/12,12111543,196418710,6980392
(주)경농,002100,2016/12,9168484,203984939,6365805
(주)경농,002100,2017/12,8447803,206534382,10079442
(주)경농,002100,2018/12,14769793,212654617,4878426
(주)경농,002100,2019/12,8690743,227510941,4014664
(주)경농,002100,2020/12,14281977,248295524,13294936
(주)경동나비엔,009450,2010/12,11122338,307182060,7841073
(주)경동나비엔,009450,2011/12,12421333,341246917,9467023
(주)경동나비엔,009450,2012/12,13925116,379014259,9169965
(주)경동나비엔,009450,2013/12,19784395,414177562,11129597
(주)경동나비엔,009450,2014/12,13464776,428985365,9380054
(주)경동나비엔,009450,2015/12,24222981,512031120,16752000
(주)경동나비엔,009450,2016/12,45831937,583252904,37469924
(주)경동나비엔,009450,2017/12,47757034,684660958,27019124
(주)경동나비엔,009450,2018/12,40802217,726741615,24748538
(주)경동나비엔,009450,2019/12,44824995,774290704,27852090
(주)경동나비엔,009450,2020/12,67099323,873409019,41637325
(주)경동도시가스,267290,2017/12,21664503,871548284,17798556
(주)경동도시가스,267290,2018/12,42657143,1606531867,34164798
(주)경동도시가스,267290,2019/12,28055130,1422707835,24638348
(주)경동도시가스,267290,2020/12,18135395,1086830628,19017069
(주)경동인베스트,012320,2010/12,45265164,1360542926,42209499
(주)경동인베스트,012320,2011/12,35856991,1847666903,30327559
(주)경동인베스트,012320,2012/12,49896945,2502642394,42879202
(주)경동인베스트,012320,2013/12,50540286,2788264380,49841905
(주)경동인베스트,012320,2014/12,47933045,2603059058,75930406
(주)경동인베스트,012320,2015/12,-13298185,1604168482,-21251390
(주)경동인베스트,012320,2016/12,28667528,1181902637,19132415
(주)경동인베스트,012320,2017/12,36380462,195069859,51930860
(주)경동인베스트,012320,2018/12,39212613,228644016,29827973
(주)경동인베스트,012320,2019/12,21959506,271765025,8856009
(주)경동인베스트,012320,2020/12,19465612,310532988,16483709
(주)경방,000050,2010/12,48084804,339355972,20060632
(주)경방,000050,2011/12,22188217,348136369,-1131177
(주)경방,000050,2012/12,7253943,333620804,-7910168
(주)경방,000050,2013/12,36031739,347189559,14574395
(주)경방,000050,2014/12,30618157,329036023,11488471
(주)경방,000050,2015/12,38961511,357628146,16692163
(주)경방,000050,2016/12,43436569,377445013,29474988
(주)경방,000050,2017/12,42309232,360788750,25315361
(주)경방,000050,2018/12,40979751,351438926,20189241
(주)경방,000050,2019/12,32020530,343892085,43621631
(주)경방,000050,2020/12,21853997,329224741,13025703
(주)경보제약,214390,2015/12,,,
(주)경보제약,214390,2016/12,,,
(주)경보제약,214390,2017/12,,,
(주)경보제약,214390,2018/12,,,
(주)경보제약,214390,2019/12,,,
(주)경보제약,214390,2020/12,,,
(주)경윤하이드로에너지,019120,2010/12,,,
(주)경인양행,012610,2010/12,10380520,267600679,8279011
(주)경인양행,012610,2011/12,6353143,233095049,2886360
(주)경인양행,012610,2012/12,3641265,218604655,2093491
(주)경인양행,012610,2013/12,11145943,260808400,10215710
(주)경인양행,012610,2014/12,14093166,277181095,10148247
(주)경인양행,012610,2015/12,6718134,263163677,3670895
(주)경인양행,012610,2016/12,10577181,274873817,6837522
(주)경인양행,012610,2017/12,7364797,299987729,4779249
(주)경인양행,012610,2018/12,19691167,331102011,13801882
(주)경인양행,012610,2019/12,23555055,358802386,16372880
(주)경인양행,012610,2020/12,3369847,329312078,-7581553
(주)고려시멘트,198440,2014/12,,,
(주)고려시멘트,198440,2015/12,,,
(주)고려시멘트,198440,2016/12,,,
(주)고려시멘트,198440,2017/12,,,
(주)고려시멘트,198440,2018/12,,,
(주)고려시멘트,198440,2019/12,,,
(주)고려시멘트,198440,2020/12,,,
(주)고바이오랩,348150,2020/12,-12344974,4591485,-55072387
(주)고영테크놀러지,098460,2010/12,20490535,72956931,16267441
(주)고영테크놀러지,098460,2011/12,18820907,86130810,15634438
(주)고영테크놀러지,098460,2012/12,21443286,107841666,15221925
(주)고영테크놀러지,098460,2013/12,16773438,111902729,13933294
(주)고영테크놀러지,098460,2014/12,28155311,142840131,22111066
(주)고영테크놀러지,098460,2015/12,23449593,145904431,23530903
(주)고영테크놀러지,098460,2016/12,33184488,171793841,29723733
(주)고영테크놀러지,098460,2017/12,43748905,203368626,26734105
(주)고영테크놀러지,098460,2018/12,45983316,238208865,42309672
(주)고영테크놀러지,098460,2019/12,33331312,222057035,29559680
(주)고영테크놀러지,098460,2020/12,15842903,179545134,9161038
(주)골드앤에스,035290,2010/12,-8206248,50487261,-8960678
(주)골드앤에스,035290,2011/12,1295340,47522791,1002287
(주)골드앤에스,035290,2012/12,-2330876,43889087,-6467495
(주)골드앤에스,035290,2013/12,-6493110,39548810,-16837473
(주)골드앤에스,035290,2014/12,-3079598,31287203,-9319175
(주)골드앤에스,035290,2015/12,1143768,22197935,-9502547
(주)골드앤에스,035290,2016/12,402070,15893494,390367
(주)골드앤에스,035290,2017/12,-3694041,12802035,-7975875
(주)골드앤에스,035290,2018/12,-4667030,8680452,-4380399
(주)골드앤에스,035290,2019/12,-7142117,7642733,-24883278
(주)골드앤에스,035290,2020/12,-2343112,4138760,1635730
(주)골드퍼시픽,038530,2010/12,,,
(주)골드퍼시픽,038530,2011/12,,,
(주)골드퍼시픽,038530,2012/12,,,
(주)골드퍼시픽,038530,2013/12,-6137582,7167832,-9381353
(주)골드퍼시픽,038530,2014/12,-5819314,16486257,-7390326
(주)골드퍼시픽,038530,2015/12,-8243124,18635305,-10215946
(주)골드퍼시픽,038530,2016/12,,,
(주)골드퍼시픽,038530,2017/12,,,
(주)골드퍼시픽,038530,2018/12,-904003,5708281,-4471963
(주)골드퍼시픽,038530,2019/12,,,
(주)골드퍼시픽,038530,2020/12,,,
(주)골프존,215000,2015/12,49582444,201560389,36533155
(주)골프존,215000,2016/12,45442469,216964342,36536248
(주)골프존,215000,2017/12,37457577,200105321,79392004
(주)골프존,215000,2018/12,28160266,198705194,20419449
(주)골프존,215000,2019/12,32297494,247018099,16213888
(주)골프존,215000,2020/12,51572914,298524085,37497361
(주)골프존뉴딘홀딩스,121440,2011/12,54442032,215793737,46487063
(주)골프존뉴딘홀딩스,121440,2012/12,69002648,289629366,73354594
(주)골프존뉴딘홀딩스,121440,2013/12,80489158,365126358,2803470
(주)골프존뉴딘홀딩스,121440,2014/12,102393717,429589619,79234486
(주)골프존뉴딘홀딩스,121440,2015/12,-9349582,164536448,871101274
(주)골프존뉴딘홀딩스,121440,2016/12,37005985,243275475,2876449
(주)골프존뉴딘홀딩스,121440,2017/12,18422625,213756902,-21585123
(주)골프존뉴딘홀딩스,121440,2018/12,1114231,223036801,-7527390
(주)골프존뉴딘홀딩스,121440,2019/12,-3625436,228935651,-34848135
(주)골프존뉴딘홀딩스,121440,2020/12,29999994,292025578,28481672
(주)광림,014200,2010/12,,,
(주)광림,014200,2011/12,,,
(주)광림,014200,2012/12,,,
(주)광림,014200,2013/12,,,
(주)광림,014200,2014/12,2185491,231446314,-237860
(주)광림,014200,2015/12,,,
(주)광림,014200,2016/12,171774,87302967,-1896521
(주)광림,014200,2017/12,-12369550,135191558,-23602051
(주)광림,014200,2018/12,-1044494,136595300,-28445678
(주)광림,014200,2019/12,-10983157,145864184,-14006972
(주)광림,014200,2020/12,8844914,161220310,-23823893
(주)광명전기,017040,2010/12,3414210,103512739,254176
(주)광명전기,017040,2011/12,496117,92382628,-1825104
(주)광명전기,017040,2012/12,4187750,117216514,407617
(주)광명전기,017040,2013/12,10781483,117852824,6473480
(주)광명전기,017040,2014/12,12461662,134778387,9107331
(주)광명전기,017040,2015/12,9342095,116316957,8891002
(주)광명전기,017040,2016/12,3616733,96942911,11593891
(주)광명전기,017040,2017/12,2197753,101561159,-2043260
(주)광명전기,017040,2018/12,3257516,114110654,2718092
(주)광명전기,017040,2019/12,7985837,131864294,7118200
(주)광명전기,017040,2020/12,4237433,123548325,4529827
(주)광무,029480,2010/12,3131491,81747132,-14977960
(주)광무,029480,2011/12,-13535610,51755052,-50127229
(주)광무,029480,2012/12,-5776949,41178683,-10689029
(주)광무,029480,2013/12,-13904969,20534276,-28721377
(주)광무,029480,2014/12,,,
(주)광무,029480,2015/12,,,
(주)광무,029480,2016/12,,,
(주)광무,029480,2017/12,,,
(주)광무,029480,2018/12,-1335245,23074941,-5120760
(주)광무,029480,2019/12,-3012624,36483979,-6421201
(주)광무,029480,2020/12,-3573279,25175823,-19325974
(주)광주신세계,037710,2010/12,,,
(주)광주신세계,037710,2011/12,,,
(주)광주신세계,037710,2012/12,,,
(주)광주신세계,037710,2013/12,,,
(주)광주신세계,037710,2014/12,,,
(주)광주신세계,037710,2015/12,,,
(주)광주신세계,037710,2016/12,,,
(주)광주신세계,037710,2017/12,,,
(주)광주신세계,037710,2018/12,,,
(주)광주신세계,037710,2019/12,,,
(주)광주신세계,037710,2020/12,,,
(주)구영테크,053270,2010/12,7839752,150546089,2294905
(주)구영테크,053270,2011/12,5159050,147832315,-647883
(주)구영테크,053270,2012/12,7488049,155788988,1633009
(주)구영테크,053270,2013/12,7492265,172747316,2179847
(주)구영테크,053270,2014/12,5438229,170528694,2236588
(주)구영테크,053270,2015/12,6145428,172083049,4158785
(주)구영테크,053270,2016/12,4337719,148301597,2542450
(주)구영테크,053270,2017/12,5691336,149833357,1357296
(주)구영테크,053270,2018/12,5378869,195238339,5920905
(주)구영테크,053270,2019/12,5239175,230853336,3387486
(주)구영테크,053270,2020/12,2938642,196660508,727487
(주)국동,005320,2010/12,1842673,152156795,-1206307
(주)국동,005320,2011/12,1137580,154293577,-7212195
(주)국동,005320,2012/12,6792926,138172746,5142066
(주)국동,005320,2013/12,5522012,147860227,4009323
(주)국동,005320,2014/12,10149086,186086561,8898694
(주)국동,005320,2015/12,8655834,170296068,5235608
(주)국동,005320,2016/12,10563534,197368723,6208749
(주)국동,005320,2017/12,-5856432,191602989,-8967738
(주)국동,005320,2018/12,5762204,219550054,2111761
(주)국동,005320,2019/12,-4249136,223077183,-4523376
(주)국동,005320,2020/12,26588643,253421044,10672756
(주)국보,001140,2010/12,2590773,118744324,914491
(주)국보,001140,2011/12,1737608,130636214,-37903
(주)국보,001140,2012/12,1365801,122343037,-874559
(주)국보,001140,2013/12,731017,117073443,-3846673
(주)국보,001140,2014/12,-2409123,97520169,-6999514
(주)국보,001140,2015/12,-2462368,91618545,-4043773
(주)국보,001140,2016/12,204105,87333326,-4187272
(주)국보,001140,2017/12,-3934059,78255522,-2889794
(주)국보,001140,2018/12,-5293766,71549828,-3999572
(주)국보,001140,2019/12,-968491,89087334,-6676274
(주)국보,001140,2020/12,-10803222,109928741,-20527205
(주)국보디자인,066620,2010/12,7073689,117346477,5511506
(주)국보디자인,066620,2011/12,8573206,130689686,6055732
(주)국보디자인,066620,2012/12,10501258,119402993,8281324
(주)국보디자인,066620,2013/12,11767773,163518536,10935895
(주)국보디자인,066620,2014/12,13346472,176373907,10942079
(주)국보디자인,066620,2015/12,12789435,192608497,10768050
(주)국보디자인,066620,2016/12,10516456,201410031,10738135
(주)국보디자인,066620,2017/12,23215727,270658405,13340935
(주)국보디자인,066620,2018/12,16463397,254259835,13872876
(주)국보디자인,066620,2019/12,11557298,269005976,15942956
(주)국보디자인,066620,2020/12,25743067,288138989,20099538
(주)국순당,043650,2010/12,14517859,116933694,15460732
(주)국순당,043650,2011/12,5344491,127686247,5264054
(주)국순당,043650,2012/12,5650758,118697826,6185532
(주)국순당,043650,2013/12,1441447,99173525,5742772
(주)국순당,043650,2014/12,1082245,91863604,3463226
(주)국순당,043650,2015/12,-8197632,77443124,-3529405
(주)국순당,043650,2016/12,-6487771,69701266,-2760688
(주)국순당,043650,2017/12,-4263332,62761236,9687855
(주)국순당,043650,2018/12,-2994444,61496072,-2977369
(주)국순당,043650,2019/12,-5966921,102095769,-8269903
(주)국순당,043650,2020/12,4581979,52947425,18661685
(주)국영지앤엠,006050,2010/12,,,
(주)국영지앤엠,006050,2011/12,,,
(주)국영지앤엠,006050,2012/12,,,
(주)국영지앤엠,006050,2013/12,,,
(주)국영지앤엠,006050,2014/12,,,
(주)국영지앤엠,006050,2015/12,,,
(주)국영지앤엠,006050,2016/12,,,
(주)국영지앤엠,006050,2017/12,,,
(주)국영지앤엠,006050,2018/12,,,
(주)국영지앤엠,006050,2019/12,,,
(주)국영지앤엠,006050,2020/12,,,
(주)국전약품,307750,2018/12,,,
(주)국전약품,307750,2019/12,,,
(주)국전약품,307750,2020/12,,,
(주)그래디언트,035080,2010/12,-15191497,448995193,-7379714
(주)그래디언트,035080,2011/12,-17906695,428571939,-12292479
(주)그래디언트,035080,2012/12,14020875,454225001,12756395
(주)그래디언트,035080,2013/12,47742962,2930521926,23780984
(주)그래디언트,035080,2014/12,51009616,3135027346,31456346
(주)그래디언트,035080,2015/12,65149099,3536848758,42995247
(주)그래디언트,035080,2016/12,49505493,3845761388,-39011241
(주)그래디언트,035080,2017/12,29816493,3541486629,-63634928
(주)그래디언트,035080,2018/12,19963614,3440906300,-4194664
(주)그래디언트,035080,2019/12,45164129,3412333826,6507368
(주)그래디언트,035080,2020/12,-11151028,3169208084,-25807835
(주)그리티,204020,2018/12,8045203,119259702,4810592
(주)그리티,204020,2019/12,2913982,123079831,1563323
(주)그리티,204020,2020/12,2147779,123462306,836636
(주)그린플러스,186230,2019/12,5077238,48831866,2533086
(주)그린플러스,186230,2020/12,5935588,62676119,-2138595
(주)극동자동화,272420,2017/12,,,
(주)글로벌스탠다드테크놀로지,083450,2010/12,8092918,46413211,6767386
(주)글로벌스탠다드테크놀로지,083450,2011/12,4242807,41504144,3521902
(주)글로벌스탠다드테크놀로지,083450,2012/12,8120683,64812103,7003711
(주)글로벌스탠다드테크놀로지,083450,2013/12,7530078,80982977,5925826
(주)글로벌스탠다드테크놀로지,083450,2014/12,8599178,89122994,7880919
(주)글로벌스탠다드테크놀로지,083450,2015/12,6011588,84422579,5703892
(주)글로벌스탠다드테크놀로지,083450,2016/12,4877910,90819412,4644376
(주)글로벌스탠다드테크놀로지,083450,2017/12,22260787,162835484,15756344
(주)글로벌스탠다드테크놀로지,083450,2018/12,10405764,129850197,10303468
(주)글로벌스탠다드테크놀로지,083450,2019/12,21908352,168231754,17968416
(주)글로벌스탠다드테크놀로지,083450,2020/12,18150174,166880498,15490969
(주)금양,001570,2010/12,3026841,102718517,530149
(주)금양,001570,2011/12,6952664,109810009,2964115
(주)금양,001570,2012/12,6614054,122905331,3717420
(주)금양,001570,2013/12,5644293,156304448,719232
(주)금양,001570,2014/12,5163631,158550531,-111826
(주)금양,001570,2015/12,6855670,158999533,14474633
(주)금양,001570,2016/12,12127454,168681746,-20526295
(주)금양,001570,2017/12,13140970,180373683,18645438
(주)금양,001570,2018/12,13526326,205441375,20253300
(주)금양,001570,2019/12,9211215,172723864,-10903987
(주)금양,001570,2020/12,6006943,176169811,-3962270
(주)금오하이텍,165270,2013/12,,,
(주)금오하이텍,165270,2014/12,,,
(주)금오하이텍,165270,2015/12,,,
(주)금오하이텍,165270,2016/12,,,
(주)금호에이치티,214330,2015/12,20339189,203071984,14971109
(주)금호에이치티,214330,2016/12,14295443,208574892,8354070
(주)금호에이치티,214330,2017/12,8924225,179707629,4933421
(주)금호에이치티,214330,2018/12,10493446,209260006,7792877
(주)금호에이치티,214330,2019/12,4059148,251095062,-75223
(주)금호에이치티,214330,2020/12,-4710924,219632557,-9813211
(주)금화피에스시,036190,2010/12,,,
(주)금화피에스시,036190,2011/12,,,
(주)금화피에스시,036190,2012/12,,,
(주)금화피에스시,036190,2013/12,27103680,166122419,22786047
(주)금화피에스시,036190,2014/12,23448696,189631759,21397903
(주)금화피에스시,036190,2015/12,27682715,235969690,22676558
(주)금화피에스시,036190,2016/12,29816098,235018376,23917682
(주)금화피에스시,036190,2017/12,33863833,205781841,20153925
(주)금화피에스시,036190,2018/12,41384787,233326733,39649709
(주)금화피에스시,036190,2019/12,34327291,209435314,27677441
(주)금화피에스시,036190,2020/12,26993690,235335656,29941078
(주)기가레인,049080,2013/12,12948738,94791934,10828194
(주)기가레인,049080,2014/12,9101817,95718992,7764423
(주)기가레인,049080,2015/12,-18852731,61576391,-13369109
(주)기가레인,049080,2016/12,-9108288,75445071,-10347329
(주)기가레인,049080,2017/12,5232144,100131227,-920801
(주)기가레인,049080,2018/12,-2497484,124772205,-21635992
(주)기가레인,049080,2019/12,-29598747,72769411,-46059977
(주)기가레인,049080,2020/12,-14446302,44278598,-25803274
(주)기산텔레콤,035460,2010/12,5255733,103705410,2751330
(주)기산텔레콤,035460,2011/12,-10359858,65679195,-12092371
(주)기산텔레콤,035460,2012/12,1714513,74315907,-1882261
(주)기산텔레콤,035460,2013/12,5120351,79463728,3928729
(주)기산텔레콤,035460,2014/12,1747320,74512326,2744606
(주)기산텔레콤,035460,2015/12,1595421,79710503,1701580
(주)기산텔레콤,035460,2016/12,-2914471,59172319,-2639743
(주)기산텔레콤,035460,2017/12,-3230591,63467585,-5538516
(주)기산텔레콤,035460,2018/12,-2927420,56445716,-3327575
(주)기산텔레콤,035460,2019/12,3995820,67054955,3498486
(주)기산텔레콤,035460,2020/12,423128,68812450,337553
(주)까뮤이앤씨,013700,2010/12,,,
(주)까뮤이앤씨,013700,2011/12,,,
